firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
301 Inc,2012.1.1,MN,55426,Corporate PE/Venture,5120,CVC,1,
305 Ventures,2021.1.1,FL,33014,Private Equity Firm,5000,IVC,1,
30Ventures Management LLC,2018.1.1,WI,53719,Private Equity Firm,4720,IVC,1,
313 Ventures LLC,2012.1.1,MI,48226,Angel Group,2160,Angel,1,
31st Street Capital LLC,2018.10.1,NE,68516,Private Equity Firm,4360,IVC,1,
32 Equity LLC,2021.1.1,NY,10001,Corporate PE/Venture,5600,CVC,1,
32 Ventures,1969.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
33 Holdings LLC,2012.1.1,GA,30350,Private Equity Firm,520,IVC,1,
3311 Ventures LLC,2016.1.1,CA,90028,Private Equity Firm,4480,IVC,1,
35 Mules Innovation Hub,2020.1.1,FL,33408,Incubator/Development Program,8960,Non-Financial,1,
35 South Capital,2020.1.1,TX,77019,Investment Management Firm,3360,Financial,1,
354 Partners LLC,2011.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
358 Capital LLC,2020.1.1,MO,63105,Private Equity Firm,7040,IVC,1,
37 Angels LLC,2019.1.1,NY,10001,Angel Group,5600,Angel,1,
37th Parallel Properties Inc,2008.2.26,VA,23226,Private Equity Firm,6760,IVC,1,
388 Ventures,2021.1.1,NY,10002,Private Equity Firm,5600,IVC,1,
39 North Capital LLC,2016.3.10,NY,10005,Private Equity Firm,5600,IVC,1,
3COM VENTURES(3COM CORP),1996.1.1,CA,95052,Corporate PE/Venture,7400,CVC,1,
3L Capital Management LLC,2017.1.1,CA,90024,Private Equity Firm,4480,IVC,1,
3Lines LLC,2016.2.25,CO,80111,Private Equity Firm,2080,IVC,1,
3M Healthcare,2002.1.1,UN,NA,Other,0,Other,1,
3P Equity Partners LLC,2012.1.1,CA,95128,Private Equity Firm,7400,IVC,1,
3Rd Creek Ventures LLC,2021.1.1,NV,89451,Private Equity Firm,6720,IVC,1,
3SC Capital Partners LLC,2013.4.25,CA,90035,Private Equity Firm,4480,IVC,1,
3Spoke Capital III Gp LLC,2017.1.1,CA,94108,Private Equity Firm,7360,IVC,1,
3dfx Interactive Inc,1994.3.1,CA,94306,Corporate PE/Venture,7400,CVC,1,
3g Capital Inc,2004.1.1,NY,10016,Private Equity Firm,5600,IVC,1,
3rodeo,2018.1.1,CA,90405,Private Equity Firm,4480,IVC,1,
3se Holdings LP,2021.1.1,NJ,7928,Private Equity Firm,0,IVC,1,
3x5 Partners LLC,2011.9.13,OR,97212,Private Equity Firm,6440,IVC,1,
4 Good Ventures,2021.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
4-D Investments LLC,2019.1.1,UT,84088,Investment Management Firm,7160,Financial,1,
4.0 Partners,2017.1.1,CA,94123,Private Equity Firm,7360,IVC,1,
406 Ventures LLC,2005.1.1,MA,2210,Private Equity Firm,1120,IVC,1,
40X80 Group LLC,2019.1.1,PA,15219,Private Equity Firm,6280,IVC,1,
412 Venture Fund LP,2019.4.29,PA,15217,Private Equity Firm,6280,IVC,1,
